order_id,create_ts,sku_list,waiting_time
O00147,3554.5684633857886,"[68, 1, 817, 939, 123, 3, 1, 1, 1]",43200
O00148,3558.2800497318854,"[1, 1, 66, 2, 207, 1, 4, 919]",21600
O00149,3569.828287829107,"[2, 5, 36, 86, 618, 751, 40, 3, 6, 581, 3, 38]",21600
O00150,3601.606614549466,"[2, 2, 1, 23]",43200
O00151,3607.344506400026,"[614, 10, 881, 45, 1, 6, 115, 88, 2, 3, 302]",21600
O00152,3634.515296475433,"[760, 5, 1, 1, 11, 57, 42]",10800
O00153,3649.8447666408338,"[1, 15, 2, 2, 54, 491]",21600
O00154,3650.478840569409,"[30, 46, 21, 465, 740, 761, 5, 602]",10800
O00155,3654.4663339471276,"[26, 1, 122, 2, 14, 160, 85]",43200
O00156,3671.799444494658,"[1, 16, 339, 1, 740, 3, 570, 201, 33, 2, 1, 10]",21600
O00157,3697.6511293559106,"[564, 642, 1, 1, 1, 621, 2, 130, 56]",21600
O00158,3756.522112485395,"[2, 542, 478, 28, 3, 693]",10800
O00159,3792.276612414177,"[17, 7, 410, 735, 1, 493, 276]",21600
O00160,3797.802085798882,"[2, 19, 1]",43200
O00161,3805.6263026124298,"[2, 4, 7]",21600
O00162,3808.013860571052,"[8, 2, 3, 24, 851]",21600
O00163,3820.781713739098,"[1, 605, 71, 20, 75, 121, 450, 2, 1]",21600
O00164,3828.127536360357,"[1, 1, 786, 326, 5, 24, 12, 12, 369, 8]",10800
O00165,3832.7765730155284,"[1, 2, 659, 65, 8, 34, 19, 4, 1, 470, 104, 8]",43200
O00166,3861.2739054969034,"[306, 2, 3, 897, 1, 18, 669, 2, 9]",43200
O00167,3898.698838514745,"[1, 32, 299, 17, 215, 3, 174, 1]",10800
O00168,3903.7001334052356,"[16, 5, 323, 2]",21600
O00169,3905.1495352984034,"[6, 2, 17, 1, 13, 17, 16, 3]",21600
O00170,3942.532183223709,"[526, 14, 2, 90, 1, 1]",43200
O00171,3970.255214472811,"[4, 12, 2, 2, 3, 588, 1, 22, 1, 227, 5]",21600
O00172,4010.2143751259623,"[17, 383, 38, 3]",21600
O00173,4033.0745769170294,"[2, 100, 1, 3, 18, 360, 3, 31]",10800
O00174,4087.1268091406805,"[487, 24, 309, 1, 32, 11, 24, 3, 546, 194]",21600
O00175,4093.9547984393007,"[146, 147, 445, 3, 3, 650, 2]",21600
O00176,4111.45921290967,"[3, 10, 1, 137, 78, 22, 303, 6, 6]",21600
O00177,4120.064262999022,"[243, 1, 437, 92, 2, 8, 3]",21600
O00178,4145.331077190733,"[1, 423, 3, 3, 2, 34, 98, 509]",21600
O00179,4168.201926994925,"[17, 88, 1, 1, 118, 578, 3, 6]",10800
O00180,4179.587110656959,"[3, 59, 831, 53, 100, 2, 6, 359, 132, 5]",10800
O00181,4183.4190253980105,"[20, 488, 28, 2, 14, 537, 117, 530]",21600
O00182,4204.069954319431,"[8, 468, 345, 62, 1, 151, 2, 2, 1]",21600
O00183,4225.180665031308,"[1, 130, 16, 55, 18, 5, 3]",43200
O00184,4248.9452516606825,"[1, 128, 247, 239, 214, 24]",10800
O00185,4249.218986972938,"[7, 20, 1, 1, 544, 710, 2, 2, 33]",21600
O00186,4269.239336106487,"[1, 1, 1, 513, 1]",43200
O00187,4329.189059696476,"[18, 91, 4, 2, 2, 1, 1]",21600
O00188,4361.581177419598,"[13, 10, 5, 1, 1, 26]",10800
O00189,4361.716517504918,"[2, 13, 507, 2, 17, 2, 6, 21, 35, 1, 26, 100]",21600
O00190,4377.750034506118,"[192, 9, 966, 2, 779]",43200
O00191,4387.436275192612,"[3, 168, 6, 7, 317]",43200
O00192,4411.958966411442,"[4, 56, 645, 1, 192]",10800
O00193,4420.440085862751,"[15, 8, 8, 1, 13, 1, 246, 2, 17, 4]",21600
O00194,4431.0709753734545,"[898, 7, 534, 5, 240, 92, 176, 660, 1, 4, 3, 92, 1]",21600
O00195,4480.902754274379,"[61, 91, 17, 6, 336, 306, 11]",21600
O00196,4525.458876821452,"[8, 7, 661, 1, 2, 11, 192, 300, 791]",21600
O00197,4553.3158267610615,"[213, 717, 12, 982, 1]",43200
O00198,4594.370908048555,"[517, 363, 47, 1, 972, 331, 2]",10800
O00199,4601.173090606784,"[323, 1, 1, 831, 38, 149]",43200
O00200,4613.680195223124,"[311, 3, 1, 8, 835, 6, 3]",43200
O00201,4627.2991837657155,"[321, 1, 2, 1]",43200
O00202,4631.503873277168,"[2, 219, 1, 23, 1, 2, 2, 18, 6]",43200
O00203,4715.550890485234,"[38, 5, 10, 184, 95, 54]",43200
O00204,4802.170907405711,"[258, 5, 8, 6, 256, 621, 1]",43200
O00205,4809.767511545014,"[227, 2, 7, 398, 66, 28, 80, 67, 889]",21600
O00206,4816.278114086235,"[44, 52, 1, 1, 5, 138, 104, 18, 168, 1]",21600
O00207,4844.885153540082,"[1, 15, 15, 1, 4, 1, 118, 130, 76, 17]",43200
O00208,4852.347482774677,"[87, 5, 2, 15, 42, 3, 9]",21600
O00209,4936.57324988121,"[2, 117, 432, 2, 15, 1, 51, 10, 1, 49]",43200
O00210,4942.176327836455,"[1, 46, 1, 628, 1, 1, 344, 1]",43200
O00211,4989.752092570156,"[191, 475, 505, 575, 297, 1, 1, 2]",10800
O00212,4993.323347755048,"[1, 23]",21600
O00213,5094.6976797737025,"[4, 3, 468, 622, 4]",43200
O00214,5109.07984396599,"[2, 615, 218, 14, 259, 1, 36, 5, 8]",21600
O00215,5214.152797708191,"[589, 9, 330, 258, 7]",21600
O00216,5215.9764700062005,"[302, 24, 10, 4, 775, 1, 1, 1]",21600
O00217,5262.170805890533,"[56, 99, 267, 1, 158, 1, 2, 107]",21600
O00218,5291.009008354865,"[6, 29, 4, 359, 832, 1, 1, 43]",43200
O00219,5292.970945138195,"[2, 155, 5, 504, 43, 4, 588, 22]",21600
O00220,5309.407906632608,"[61, 973, 715, 6, 4, 3, 364, 2]",10800
O00221,5320.749205289315,"[1, 9, 8, 21, 16, 51, 247, 1, 31]",21600
O00222,5324.873529245336,"[647, 11, 821, 146, 2, 32, 501, 244]",10800
O00223,5333.562245567443,"[328, 1, 69, 20, 67, 1]",21600
O00224,5382.080857254718,"[1, 1, 2]",21600
O00225,5395.839997132193,"[2, 692, 9, 1, 559, 3, 20, 42, 12, 4, 16, 708]",10800
O00226,5398.075512253634,"[2, 154, 2, 28, 5, 42, 1, 118, 136]",10800
O00227,5434.828925663025,"[2, 70, 1, 29, 1, 120, 298, 1]",21600
O00228,5442.252853186793,"[55, 611, 9, 1, 11, 729, 1, 331]",10800
O00229,5462.098237010609,"[4, 45, 5, 635, 7, 141, 2, 2]",10800
O00230,5484.0430300911485,"[113, 665, 9, 15, 20, 1, 344, 8, 100, 297, 12]",21600
O00231,5560.8589622994705,"[460, 10, 1, 3, 574, 130, 433, 2, 1, 340]",21600
O00232,5569.758356812881,"[59, 2, 12, 1, 1, 11]",10800
O00233,5583.855736700253,"[2, 18, 64, 35, 27, 20, 981]",43200
O00234,5599.469665063986,"[8, 15, 971, 165, 1, 2, 120, 723, 16]",43200
O00235,5645.906469169486,"[192, 26, 230, 1, 1, 1, 22, 90, 1]",10800
O00236,5710.629699818665,"[19, 541, 11, 100, 2, 489, 3, 39, 606]",21600
O00237,5762.096159173807,"[230, 359, 28, 3, 384, 94]",43200
O00238,5823.422401297611,"[13, 35, 948, 16, 2, 313, 5, 340, 4]",21600
O00239,5844.466935331442,"[34, 8, 39, 987, 16, 946, 5, 5, 5]",43200
O00240,5868.198316233822,"[2, 6, 635, 2, 1, 2, 873, 187]",10800
O00241,5950.313980555533,"[45, 19, 8, 1, 1, 23]",21600
O00242,5986.517500748849,"[1, 96, 34, 174, 3, 349, 5, 29, 3]",21600
O00243,6006.106613145772,"[4, 13, 117, 1, 459]",10800
O00244,6042.156720662671,"[186, 4, 1, 4, 745, 221, 18, 10]",43200
O00245,6067.315630583871,"[654, 322, 84, 241, 2, 2, 3, 402]",10800
O00246,6093.498534790936,"[6, 36, 444, 19, 1, 572]",43200
O00247,6112.604633283122,"[1, 596, 989, 459, 2, 31, 160, 20]",10800
O00248,6136.165619399024,"[72, 406, 177, 17, 381, 7, 26, 1, 265, 4, 580]",10800
O00249,6142.923794840096,"[1, 1, 4, 723, 20, 1, 532]",21600
O00250,6146.894841283108,"[667, 4, 869, 1, 1, 169, 3]",21600
O00251,6147.596130423812,"[388, 589, 1, 679, 1, 3, 140, 1, 243, 252, 39, 330]",21600
O00252,6245.434906785932,"[4, 647, 9, 35, 312, 1, 3, 59]",21600
O00253,6245.977828642667,"[21, 8, 598, 3, 892, 21, 2, 105]",10800
O00254,6321.007496675561,"[6, 135, 12, 15, 15, 1, 61, 642, 1, 1]",21600
O00255,6332.815539361239,"[95, 1, 1, 111, 1]",21600
O00256,6371.565947576216,"[17, 14, 1, 6, 457, 236]",21600
O00257,6418.594934995688,"[37, 12, 10, 121, 205, 10, 524, 147, 643]",21600
O00258,6423.657960881722,"[13, 29, 2, 7, 32, 152, 1, 28]",21600
O00259,6486.960245869032,"[1, 30, 12, 1, 610]",21600
O00260,6488.3847710193995,"[3, 739, 480, 2, 3, 3]",10800
O00261,6500.431190982466,"[1, 42, 38, 186, 302, 17]",10800
O00262,6537.454766034737,"[1, 287, 1, 15, 108, 130, 1, 2, 758, 9, 383]",21600
O00263,6544.576502650734,"[936, 964, 8, 5, 15, 7, 3]",21600
O00264,6572.126424710317,"[999, 1, 471, 53, 1]",21600
O00265,6600.035411435193,"[5, 9, 73, 1, 47, 94, 677, 61]",43200
O00266,6601.643986413681,"[6, 94, 1, 1, 276, 762, 95, 146]",43200
O00267,6604.44468289288,"[1, 1, 1, 11, 1, 7]",10800
O00268,6628.138032402788,"[97, 1, 3, 2, 1, 220, 1, 11, 35, 254]",21600
O00269,6656.982260549934,"[1, 487, 80, 2, 4, 237]",21600
O00270,6669.335203426792,"[867, 1, 747, 937, 2, 26, 280]",21600
O00271,6674.3303941654485,"[3, 7, 69, 4, 168, 7, 580, 293]",43200
O00272,6734.547311797678,"[3, 12, 6, 672, 19, 2, 6, 2, 498, 405]",43200
O00273,6780.081337085714,"[673, 2, 82, 177, 558, 45, 33, 9, 1]",43200
O00274,6819.367628805617,"[4, 348, 1, 4, 2, 42]",21600
O00275,6864.869891464218,"[10, 1, 105, 50, 2, 215]",43200
O00276,6867.871332187833,"[4, 3, 40, 217, 1, 6, 2, 9, 67]",21600
O00277,6871.249300354761,"[2, 98, 111, 1, 1, 366, 1]",10800
O00278,6900.57252943951,"[263, 3, 173, 209]",21600
O00279,6921.743496393538,"[1, 1, 2, 2, 1]",21600
O00280,6957.686733885771,"[25, 20, 277, 12, 5, 122, 595]",21600
O00281,6966.438865022044,"[1, 16, 16, 804, 213, 322, 28, 347, 1]",21600
O00282,6982.220898968719,"[25, 2, 72, 2, 206, 795, 1, 923]",43200
O00283,7008.294276848941,"[701, 2, 951, 8, 1, 420, 1, 3, 1]",21600
O00284,7071.62812487142,"[978, 527, 4, 37, 1, 72, 3]",21600
O00285,7073.78385258737,"[285, 241, 1, 3, 2, 2, 17]",21600
O00286,7076.759595044048,"[2, 201, 10, 28, 6, 721]",21600
O00287,7108.209350394177,"[69, 1, 2, 95, 472, 21, 39]",10800
O00288,7124.851869927392,"[309, 541, 510, 465, 1, 1, 88, 1, 903, 1]",21600
O00289,7136.776850037541,"[18, 381, 79, 51, 264, 1, 8, 2, 593]",10800
O00290,7142.007652944052,"[1, 1, 153, 677, 11, 119, 6]",10800
O00291,7145.678405781767,"[1, 260, 3, 692, 5, 18, 49, 389, 9]",43200
O00292,7162.121285721904,"[1, 9, 848, 479, 10, 896, 18, 152, 272, 437, 463, 1, 14]",43200
O00293,7169.736992809412,"[970, 870, 2, 1, 231, 11, 73, 1, 959]",21600
O00294,7170.41693333878,"[161, 4, 11, 3, 1, 784, 54]",43200
O00295,7181.626395506433,"[272, 9, 13, 42, 254, 433, 998]",21600
O00296,7245.211347659053,"[9, 15, 3, 80, 67, 74, 42, 170, 35, 22, 240, 906]",10800
O00297,7252.6592230259,"[1, 17, 983, 12, 4, 2, 17, 18]",21600
O00298,7283.226217179634,"[79, 176, 569, 966]",10800
O00299,7300.527681813493,"[64, 575, 5, 1, 356, 1, 16, 869, 5]",10800
O00300,7341.5479026368375,"[725, 3, 32, 14, 768, 913, 4, 460, 27, 1]",21600
O00301,7371.6581059829205,"[4, 6, 20, 74]",10800
O00302,7430.277545573504,"[2, 326, 367, 7, 4, 97, 5]",10800
O00303,7455.913318580365,"[433, 426, 27, 564, 859, 1, 22, 2, 373, 1]",10800
O00304,7470.312225126777,"[1, 407, 1, 474, 9, 3]",21600
O00305,7547.9525457710615,"[384, 2, 206, 1, 6, 2, 788, 2, 1, 16]",21600
O00306,7608.194188027229,"[2, 18, 365, 58, 2, 6, 3, 130, 9]",21600
O00307,7655.241506955265,"[14, 1, 287, 4, 609, 4]",21600
O00308,7673.469162009031,"[491, 455, 1, 2, 1, 18, 806, 697]",43200
O00309,7676.48663115797,"[7, 26, 649, 757, 1, 427, 9, 3]",21600
O00310,7700.263512553949,"[135, 14, 28, 88, 9, 6, 108, 29]",43200
O00311,7709.939265332904,"[3, 365, 361, 84, 6, 361]",10800
O00312,7743.421603146832,"[2, 14, 810, 45, 28, 496, 118]",21600
O00313,7751.457689821904,"[2, 1, 1, 415, 835, 43, 453]",10800
O00314,7766.912521739013,"[1, 465, 100, 667]",43200
O00315,7791.512271835021,"[7, 639, 9, 400, 18, 942, 15, 1, 7]",10800
O00316,7804.071091075816,"[7, 79, 1, 39, 829, 3, 8, 55, 3, 815]",21600
O00317,7863.433555319798,"[348, 48, 69, 69, 12, 137]",10800
O00318,7875.06260521423,"[427, 14, 132, 38, 3, 3, 777]",21600
O00319,7880.424673986707,"[10, 7, 157, 106, 1, 71, 239]",21600
O00320,7898.7842816240345,"[546, 2, 205, 1, 10, 2]",10800
O00321,7912.196827428852,"[1, 2, 3, 65]",10800
O00322,7979.489141837559,"[2, 8, 647, 10, 6, 89, 33, 2]",43200
O00323,7983.384751082892,"[893, 1, 14, 5, 12, 1, 245]",43200
O00324,8018.755852601444,"[6, 6, 138, 16, 50, 3, 25, 164, 80, 1]",21600
O00325,8020.999665840288,"[35, 2, 1, 3, 1, 2, 431, 10]",43200
O00326,8031.304743357893,"[176, 1, 53, 13, 498, 15, 65, 6, 78, 17]",21600
O00327,8033.834055804063,"[48, 804, 2, 123, 32, 5, 539, 1, 301, 88, 1]",21600
O00328,8036.97726553464,"[121, 2, 6, 1, 297, 1, 63, 1, 33, 32, 9]",43200
O00329,8043.0175610459855,"[1, 19, 100, 2, 1, 476, 583, 412]",21600
O00330,8047.6658631090095,"[815, 1, 834, 5, 614, 43, 822, 2]",10800
O00331,8077.9184772928065,"[14, 4, 1, 3, 918, 4, 1, 641, 225]",21600
O00332,8138.931958230326,"[2, 793, 39, 4, 689, 41, 4, 2, 9, 1, 9, 17, 159]",10800
O00333,8168.525220264482,"[21, 188, 14, 1]",43200
O00334,8209.571502859897,"[15, 929, 2, 685, 1]",21600
O00335,8241.078812558255,"[327, 98, 295, 1, 265, 913, 38, 158, 25, 12]",10800
O00336,8256.212664542394,"[871, 6, 10, 4, 176, 1, 3, 29, 15, 388]",21600
O00337,8264.856350523874,"[342, 637, 2, 370]",21600
O00338,8305.26383158003,"[615, 1, 4, 106, 7, 1, 28, 9, 1]",21600
O00339,8312.19164666998,"[8, 15, 1, 2, 537, 1, 1]",10800
O00340,8324.758312607153,"[35, 9, 9, 44, 4, 164, 219]",21600
O00341,8345.684568624169,"[823, 3, 2, 2, 1, 238, 96, 1]",43200
O00342,8400.47762761117,"[2, 3, 4, 3, 217, 564]",21600
O00343,8431.798247835657,"[89, 97, 13, 5, 54, 33, 733, 12, 326, 443, 57]",21600
O00344,8484.231471321025,"[1, 711, 374, 2, 245, 2]",21600
O00345,8521.531188344929,"[292, 3, 92, 24, 13, 185, 266, 691]",21600
O00346,8596.049000172236,"[351, 144, 1, 2, 1, 4, 1, 6]",10800
